Event ID,Event Type,Name,Date,Time,VIP Price,Gold Price,Silver Price,Bronze Price,General Admission Price,Venue Name,Pct Seats Unavailable,Venue Type,Capacity,Cost,VIP Pct,Gold Pct,Silver Pct,Bronze Pct,General Admission Pct,Reserved Extra Pct,Fireworks Planned,Fireworks Cost
1,Sport,UTEP Football 1,9/4/23,7:05 PM,31.50,27.00,22.50,19.50,15.00,Sun Bowl Stadium,0,Stadium,58000,681500,5,10,15,20,45,5,Yes,17400
2,Sport,UTEP Football 2,9/11/23,7:05 PM,31.50,27.00,22.50,19.50,15.00,Sun Bowl Stadium,0,Stadium,58000,681500,5,10,15,20,45,5,Yes,17400
3,Sport,UTEP Football 3,9/18/23,7:05 PM,31.50,27.00,22.50,19.50,15.00,Sun Bowl Stadium,0,Stadium,58000,681500,5,10,15,20,45,5,No,
4,Sport,UTEP Football 4,9/25/23,7:05 PM,31.50,27.00,22.50,19.50,15.00,Sun Bowl Stadium,0,Stadium,58000,681500,5,10,15,20,45,5,Yes,17400
5,Sport,UTEP Football 5,10/2/23,7:05 PM,31.50,27.00,22.50,19.50,15.00,Sun Bowl Stadium,0,Stadium,58000,681500,5,10,15,20,45,5,No,
6,Sport,UTEP Football 6,10/9/23,7:05 PM,31.50,27.00,22.50,19.50,15.00,Sun Bowl Stadium,0,Stadium,58000,681500,5,10,15,20,45,5,Yes,17400
7,Sport,UTEP Football 7,10/16/23,7:05 PM,31.50,27.00,22.50,19.50,15.00,Sun Bowl Stadium,0,Stadium,58000,681500,5,10,15,20,45,5,No,
8,Sport,UTEP Football 8,10/23/23,7:05 PM,33.60,28.80,24.00,20.80,16.00,Sun Bowl Stadium,0,Stadium,58000,681500,5,10,15,20,45,5,No,
9,Sport,UTEP Football 9,10/30/23,7:05 PM,33.60,28.80,24.00,20.80,16.00,Sun Bowl Stadium,0,Stadium,58000,681500,5,10,15,20,45,5,Yes,18560
10,Sport,UTEP Football 10,11/6/23,7:05 PM,33.60,28.80,24.00,20.80,16.00,Sun Bowl Stadium,0,Stadium,58000,681500,5,10,15,20,45,5,No,
11,Sport,UTEP Football 11,11/13/23,7:05 PM,33.60,28.80,24.00,20.80,16.00,Sun Bowl Stadium,0,Stadium,58000,681500,5,10,15,20,45,5,No,
12,Sport,UTEP Football 12,11/20/23,7:05 PM,33.60,28.80,24.00,20.80,16.00,Sun Bowl Stadium,0,Stadium,58000,681500,5,10,15,20,45,5,No,
13,Sport,UTEP Football 13,11/27/23,7:05 PM,37.80,32.40,27.00,23.40,18.00,Sun Bowl Stadium,0,Stadium,58000,681500,5,10,15,20,45,5,No,
14,Sport,UTEP Basketball 1,11/20/23,6:30 PM,31.50,27.00,22.50,19.50,15.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
15,Sport,UTEP Basketball 2,11/22/23,7:15 PM,35.70,30.60,25.50,22.10,17.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
16,Sport,UTEP Basketball 3,11/27/23,6:30 PM,31.50,27.00,22.50,19.50,15.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
17,Sport,UTEP Basketball 4,11/29/23,7:15 PM,35.70,30.60,25.50,22.10,17.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
18,Sport,UTEP Basketball 5,12/4/23,6:30 PM,31.50,27.00,22.50,19.50,15.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
19,Sport,UTEP Basketball 6,12/6/23,7:15 PM,35.70,30.60,25.50,22.10,17.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
20,Sport,UTEP Basketball 7,12/11/23,6:30 PM,31.50,27.00,22.50,19.50,15.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
21,Sport,UTEP Basketball 8,12/13/23,7:15 PM,35.70,30.60,25.50,22.10,17.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
22,Sport,UTEP Basketball 9,12/18/23,6:30 PM,31.50,27.00,22.50,19.50,15.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
23,Sport,UTEP Basketball 10,12/20/23,7:15 PM,35.70,30.60,25.50,22.10,17.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
24,Sport,UTEP Basketball 11,12/25/23,6:30 PM,31.50,27.00,22.50,19.50,15.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
25,Sport,UTEP Basketball 12,12/27/23,7:15 PM,35.70,30.60,25.50,22.10,17.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
26,Sport,UTEP Basketball 13,1/1/24,6:30 PM,31.50,27.00,22.50,19.50,15.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
27,Sport,UTEP Basketball 14,1/3/24,7:15 PM,35.70,30.60,25.50,22.10,17.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
28,Sport,UTEP Basketball 15,1/8/24,6:30 PM,31.50,27.00,22.50,19.50,15.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
29,Sport,UTEP Basketball 16,1/10/24,7:15 PM,35.70,30.60,25.50,22.10,17.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
30,Sport,UTEP Basketball 17,1/15/24,6:30 PM,31.50,27.00,22.50,19.50,15.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
31,Sport,UTEP Basketball 18,1/17/24,7:15 PM,35.70,30.60,25.50,22.10,17.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
32,Sport,UTEP Basketball 19,1/22/24,6:30 PM,31.50,27.00,22.50,19.50,15.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
